trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
572,False,"{'a': 0.002, 'e': 0.31918002298450265}",35,11,-31.70605057419759,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 1}",1
573,False,"{'a': 0.002, 'e': 0.31854230087321894}",20,13,13.153336334419325,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
574,False,"{'a': 0.002, 'e': 0.3179058529315635}",25,13,4.188905532282025,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
575,False,"{'a': 0.002, 'e': 0.3172706766137436}",20,0,-0.16880456678293876,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
576,False,"{'a': 0.002, 'e': 0.31663676937905316}",30,7,-6.700667703839162,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 1}",1
577,False,"{'a': 0.002, 'e': 0.31600412869186245}",20,12,3.569727554369581,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
578,False,"{'a': 0.002, 'e': 0.31537275202160797}",25,20,8.335576968976401,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
579,False,"{'a': 0.002, 'e': 0.3147426368427819}",20,0,-3.3977401684707673,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",1
580,False,"{'a': 0.002, 'e': 0.31411378063492296}",25,18,13.210132630708536,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
581,False,"{'a': 0.002, 'e': 0.3134861808826053}",20,1,5.151427010634516,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
582,False,"{'a': 0.002, 'e': 0.3128598350754292}",35,23,19.002722870743646,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
583,False,"{'a': 0.002, 'e': 0.31223474070801055}",20,0,20.28355982568131,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
584,False,"{'a': 0.002, 'e': 0.31161089527997105}",25,5,-16.164349320157257,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",1
585,False,"{'a': 0.002, 'e': 0.3109882962959281}",20,12,12.61939700730233,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
586,False,"{'a': 0.002, 'e': 0.31036694126548503}",30,13,29.44054862871324,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
587,False,"{'a': 0.002, 'e': 0.3097468277032208}",25,0,-36.68700328912366,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
588,False,"{'a': 0.002, 'e': 0.3091279531286804}",20,7,3.365746973718216,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
589,False,"{'a': 0.002, 'e': 0.3085103150663647}",25,8,-3.6510292993546276,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
590,False,"{'a': 0.002, 'e': 0.3078939110457206}",20,4,-37.66676656892916,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 1}",1
591,False,"{'a': 0.002, 'e': 0.30727873860113125}",25,11,-16.596863963339295,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
592,False,"{'a': 0.002, 'e': 0.306664795271906}",35,19,-24.569831189353884,"{0: 12, 1: 1, 2: 2, 3: 1, 4: 0}",1
593,False,"{'a': 0.002, 'e': 0.3060520786022707}",25,17,7.003290605695542,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
594,False,"{'a': 0.002, 'e': 0.3054405861413579}",20,0,-87.28167495327678,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 2}",0
595,False,"{'a': 0.002, 'e': 0.30483031544319683}",20,0,14.348901027832344,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
596,False,"{'a': 0.002, 'e': 0.3042212640667041}",20,0,-9.019842538741237,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
597,False,"{'a': 0.002, 'e': 0.30361342957567317}",20,14,-31.614477554154377,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
598,False,"{'a': 0.002, 'e': 0.3030068095387654}",20,4,0.1820264180094,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
599,False,"{'a': 0.002, 'e': 0.3024014015294998}",25,13,18.96489600110712,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
600,False,"{'a': 0.002, 'e': 0.3017972031262435}",30,16,13.500346428831666,"{0: 12, 1: 2, 2: 0, 3: 0, 4: 0}",1
601,False,"{'a': 0.002, 'e': 0.30119421191220214}",30,12,19.729348512297204,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
602,False,"{'a': 0.002, 'e': 0.30059242547541}",30,12,32.73760062156269,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
603,False,"{'a': 0.002, 'e': 0.2999918414087205}",25,13,1.2719868070710114,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
604,False,"{'a': 0.002, 'e': 0.2993924573097967}",20,0,-65.10856333209449,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 2}",0
